idx,pm,stator_yoke,stator_tooth,stator_winding
1,-0.6331047,-0.39753547,-0.29014707,-0.30772012
2,-0.15065576,-0.7776131,-1.226843,-1.3218563
3,1.1360375,0.96701133,0.45456198,0.11089915
4,1.0466292,1.2912089,1.3025689,1.0491111
5,-0.47017303,-0.053766523,-0.123046994,-0.032704756
6,0.6182605,2.2194326,1.9916204,2.0203998
7,-0.58353126,0.11259055,0.080426835,0.018328104
8,0.8130191,1.1483983,1.269249,1.261606
9,1.266706,1.2923857,1.3008974,1.2420858
10,-0.4079813,1.1554018,0.61742294,0.19622199
11,-1.9131672,-0.931141,-1.0679089,-0.97692335
12,1.7923565,1.5861849,1.6854994,1.6326808
13,0.030298231,-1.0162548,-0.88881254,-0.9612818
14,-0.86630934,-0.98363084,-0.79496586,-0.60086125
15,0.4444936,0.7845303,0.8077671,0.7440794
16,0.8680826,1.4982725,1.5350854,1.4541249
17,-0.6498968,-0.73472506,-1.0679032,-1.1352037
18,2.5141337,0.19799195,0.922454,1.1684716
19,0.22996332,-0.057708886,0.015141915,-0.053082936
20,-0.88636595,1.333444,0.7756293,0.34066057
21,-1.3158876,-0.6895489,-0.4536089,-0.2880683
22,1.6221181,1.4741509,1.6113755,1.6379085
23,0.2644652,1.5727644,1.0937625,0.718714
24,-0.729979,-0.39753547,-0.5314773,-0.60307634
25,-1.2764896,-1.5746365,-1.7312883,-1.743679
26,-1.8098016,-0.73472506,-0.8919251,-0.9156372
27,0.6646708,1.1714823,1.4543841,1.5806936
28,-0.7648461,-0.057886653,0.022858335,0.26436746
29,0.051876757,-0.15613568,-0.22745828,-0.36885843
30,0.3888074,0.1164709,-0.19064672,-0.38822663
31,-0.17909513,-0.25798985,-0.040695533,0.017978428
32,0.21051303,0.70273674,0.46123898,0.33346263
33,-0.419821,-0.046816103,-0.29383245,-0.5031175
34,1.3463522,0.91252774,1.0065752,0.9413437
35,0.62260395,-0.42960945,0.15493041,0.51213163
36,0.6517477,-0.057750423,0.027276801,-0.022845596
37,0.8162987,-1.0268155,-0.97466916,-1.0488167
38,-2.095237,-1.7447779,-1.8690261,-1.783072
39,-0.47349787,-0.26272202,-0.34073776,-0.43029252
40,-1.1226348,-1.2959561,-1.5509492,-1.5721393
41,0.27099094,0.25598225,0.12647295,-0.09561874
42,0.06160719,-0.4061476,-0.13439825,-0.003675309
43,0.25348654,-0.6052484,-0.20327103,0.017978428
44,0.5532566,0.55035746,0.32317474,0.17108805
45,-0.30816126,-0.5245882,-0.4330642,-0.4163732
46,1.1323154,1.2877377,1.2261782,1.0964866
47,1.2015032,2.1477609,1.8839396,1.5162321
48,-1.4981871,-0.73472506,-0.5835818,-0.37904912
49,0.11936734,1.2910073,1.0366365,0.9278725
50,-1.8831811,-1.3681759,-1.6380159,-1.6597942
51,-0.1731109,1.6256125,1.0414432,0.5170762
52,-0.66030663,-0.39804828,-0.30060056,-0.2783323
53,0.9674933,0.9512226,1.3439274,1.5097048
54,0.015276888,-0.15526496,-0.43785724,-0.60133594
55,0.34340176,-0.608546,-0.18483461,0.017970007
56,1.1197674,1.8284644,1.6995169,1.7764833
57,-0.30888245,-0.77792436,-0.76913756,-0.84327227
58,2.740646,0.27697724,1.2631254,1.732807
59,-2.2542539,-1.7462937,-1.9857602,-1.8859512
60,-1.7241789,-0.5640248,-0.7619508,-0.5689628
61,-0.5985675,-0.78508794,-0.7619508,-0.73020774
62,-0.6048525,1.3341264,0.770885,0.32635787
63,-0.9405046,0.2656923,-0.09429606,-0.33383745
64,0.5009567,-0.23739372,-0.001569343,0.17164683
65,0.39429098,0.5217276,0.461578,0.63130414
66,0.027833913,0.27293387,1.1226001,1.9817852
67,-1.7712511,-1.6633223,-1.8276078,-1.8292718
68,0.3333422,-0.552896,-0.83605266,-1.004487
69,0.25166988,-0.6053704,-0.9972847,-1.2256489
70,0.33095235,0.10545371,0.7910582,1.2616092
71,1.1124394,0.61345774,0.8072069,0.88316923
72,1.3714821,-0.22432522,0.3112762,0.5896109
73,-1.5726362,-1.4399513,-1.5342582,-1.5427145
74,0.8598637,1.7954534,1.3079549,0.81008476
75,1.042945,-0.634208,-0.45331955,-0.40078488
76,1.7428966,1.5434272,1.5652134,1.2637337
77,0.022260247,-1.292387,-1.3375858,-1.4431683
78,0.25919545,0.3777959,0.42530572,0.47836998
79,-1.7360383,-0.5706136,-0.7619526,-0.6029074
80,-0.49270722,-0.8710616,-0.5718579,-0.38487917
81,0.4988004,2.0498352,1.8227763,1.6423906
82,1.7251121,0.079370245,0.8840425,1.261606
83,1.2455808,1.5924633,1.1085544,0.608584
84,-1.9456769,-1.2783307,-1.2727501,-1.2243869
85,-0.8076231,-0.89574444,-0.9672698,-0.97692376
86,1.5799282,2.2194297,1.9916233,1.8765532
87,0.16861096,-0.73846626,-0.29715684,0.018556671
88,-1.4111534,-1.0200243,-0.8083357,-0.56761146
89,-1.8855283,-1.6619363,-1.8250198,-1.8178036
90,-0.02098329,0.94898546,0.6431839,0.3268827
91,-0.75999695,-0.44591692,-0.79967815,-0.977352
92,-2.0594492,-1.5726331,-1.5042924,-1.3543057
93,-2.1654406,-1.7462937,-1.875403,-1.7828764
94,1.1350847,-1.2986699,-1.3697382,-1.3298639
95,0.8232559,1.1687727,0.97422093,0.652763
96,-1.6296315,-0.73472506,-0.83604765,-0.97686195
97,-0.2225407,1.6212012,1.031979,0.5148033
98,-1.5085921,0.12381741,0.39028773,0.97265244
99,0.2658557,-0.39753547,-0.2957332,-0.3179426
100,-1.895591,-1.3769901,-1.6387173,-1.6598344
101,-0.009123185,0.23662381,0.34339082,0.4344947
102,-1.3941361,-0.7652155,-0.38351595,0.33231804
103,-1.5863669,-1.4428248,-1.5348307,-1.5497537
104,-0.14570935,0.25708863,0.15578638,0.14355867
105,0.7321722,1.4194555,0.99810237,0.5156368
106,0.4037216,0.20466775,0.15590607,0.22687638
107,-0.010478104,0.53258634,0.46185774,0.50198877
108,-1.3592255,-1.409146,-1.6798079,-1.668671
109,-0.008499297,0.13545138,0.010570902,-0.21580224
110,-0.25430083,-0.81684875,-0.499931,-0.35137668
111,-0.5758481,-0.73475873,-1.0679032,-1.1347325
112,0.13708459,-0.06355648,-0.453608,-0.6941226
113,1.1620145,0.9073144,0.8600049,0.80271685
114,0.7007011,0.7851204,0.96041214,1.2074696
115,-0.014434755,0.13515668,0.009397694,-0.22214258
116,-0.0342269,-0.48523918,-0.29578716,-0.23015723
117,-0.5953003,-0.8918172,-0.592074,-0.4142384
118,0.6590926,1.6678524,1.3030269,0.8908063
119,-1.1835617,-1.3232332,-1.5636574,-1.5933026
120,0.05164133,-0.5884196,-0.9119695,-1.0549763
121,0.9373915,1.7300907,1.3786796,0.98842007
122,0.60921717,0.20762147,0.3404396,0.3299336
123,1.166664,1.2048335,0.90968764,0.5475479
124,0.4775349,-0.18650976,-0.51861143,-0.72605735
125,1.8463293,1.5460182,1.6856602,1.6933196
126,0.20418431,0.3200615,0.3132382,0.19783619
127,0.29727206,0.13890946,0.15590607,0.16959612
128,0.4174889,0.12418633,0.09349843,0.28266326
129,0.004822392,-0.8070595,-0.53007376,-0.4096862
130,-0.62007105,-0.25116837,-0.110920146,-0.018606797
131,-2.4279442,-1.7490411,-1.83182,-1.7240036
132,0.560392,0.727087,0.6334349,0.5699042
133,0.09765308,1.6518865,1.0516337,0.5483875
134,-0.22274537,-0.40075475,-0.97411346,-1.225649
135,0.6226164,0.9324959,0.9950779,0.89710164
136,-0.27179128,-0.6255285,-0.5216129,-0.49563855
137,0.18624556,0.74120915,0.641418,0.60640925
138,-0.032256264,-0.61097926,-0.1308061,0.26502758
139,0.7557588,1.5905312,1.368852,1.2510449
140,-1.0007843,-0.49195436,-0.24959902,-0.032470383
141,0.87393755,-0.79914886,-0.60363764,-0.45043358
142,-0.15542608,-0.5132338,-0.11646538,0.14987896
143,0.8487971,0.9002479,1.0579175,1.1148611
144,0.7494191,1.7097151,1.5785131,1.5158427
145,-2.176879,-1.3782237,-1.5753496,-1.4976336
146,-0.30007017,-0.41711912,-0.18694097,-0.04033198
147,2.2703815,0.24155305,1.1836748,1.6926951
148,-0.8972985,-0.39983365,-0.38307688,-0.23072705
149,0.47010973,0.027901195,0.30900016,0.48710227
150,0.37073317,-0.90202194,-0.7620542,-0.5935705
151,1.7519664,1.5496835,1.6123285,1.3179
152,-1.6154649,-0.9847258,-1.0831954,-1.1146554
153,0.3786993,1.4111739,0.9233364,0.48468968
154,0.056805395,0.35872802,0.45070475,0.51372844
155,0.639355,0.15747593,0.46185845,0.6486793
156,-0.8270056,-0.932172,-1.0724938,-1.0346806
157,-1.302168,-1.4402206,-1.5321153,-1.542436
158,-1.3853903,-1.7462937,-1.9089239,-1.8855085
159,2.142553,1.6052727,1.9170914,2.0077384
160,0.8360311,0.33331388,0.46185845,0.64349985
161,0.025234582,-1.0269017,-0.8980421,-0.97419417
162,-0.050649527,-0.22186327,-0.35075328,-0.5888985
163,0.33490324,0.92385715,0.90554714,0.78300524
164,1.2642945,-0.021716362,0.7697797,1.186831
165,0.019553052,0.14845255,0.012851764,-0.23073025
166,0.0975666,-0.49758047,0.07822296,0.56579405
167,0.6082586,0.61559963,0.8319715,0.9665215
168,-0.53725713,0.4023592,0.9377582,1.6475018
169,1.994077,0.18988359,1.0976458,1.6801844
170,-0.6935127,-1.4101391,-1.4522185,-1.5086287
171,-0.23793729,-0.7348239,-0.76194954,-0.7260633
172,-0.11008339,-1.0240624,-1.0679032,-0.9935278
173,-0.04405391,0.19954894,0.80018306,1.5263475
174,1.6312805,2.1295798,1.8825538,1.6265707
175,-0.51917857,-0.8087661,-0.5137589,-0.1315232
176,1.7982051,1.2910466,1.2246499,1.0003148
177,1.4252118,2.2999976,2.2239444,1.8881376
178,0.353702,0.02228826,0.060308307,0.01718585
179,-0.15815562,-0.95105857,-1.067862,-1.0021287
180,1.0963138,1.3396807,1.1908373,0.9554364
181,0.2456429,1.6011846,1.0048602,0.51515645
182,1.8260416,2.2130172,1.9395303,1.494021
183,-0.6249975,0.23189144,0.7094741,1.2643198
184,-2.3931136,-0.05803981,0.76496714,1.8539166
185,0.118150316,-0.057711642,-0.001054903,-0.059306808
186,0.75798005,1.5887654,1.8133974,2.076026
187,0.25032026,1.6052525,1.0082265,0.5162351
188,0.15191133,0.3629324,0.15590571,0.017842509
